model,setting,features_used,acc,precision_macro,recall_macro,f1_macro
SVM,full,"VOC,Temperature,Humidity",0.9770114942528736,0.9770975593950735,0.9770975593950735,0.9770975593950735
GBC,full,"VOC,Temperature,Humidity",0.9770114942528736,0.9773876475654862,0.9770094691907042,0.9771357449066368
XGB,full,"VOC,Temperature,Humidity",0.9846743295019157,0.9847168558074734,0.9848049460118427,0.9846960967630691
COMB_SG,full,"VOC,Temperature,Humidity",0.9770114942528736,0.9770975593950735,0.9770975593950735,0.9770975593950735
COMB_SX,full,"VOC,Temperature,Humidity",0.9770114942528736,0.9770975593950735,0.9770975593950735,0.9770975593950735
COMB_GX,full,"VOC,Temperature,Humidity",0.9770114942528736,0.9773876475654862,0.9770094691907042,0.9771357449066368
COMBINED3,full,"VOC,Temperature,Humidity",0.9846743295019157,0.9847168558074734,0.9847614071752003,0.9847171133298301
SVM,w/o_VOC,"Temperature,Humidity",0.8544061302681992,0.8595796491499028,0.8542643759163407,0.8543777020823113
GBC,w/o_VOC,"Temperature,Humidity",0.9272030651340997,0.9281839186878962,0.9272860926830453,0.9271747030208183
XGB,w/o_VOC,"Temperature,Humidity",0.9386973180076629,0.9400682771613301,0.9389139996597895,0.9385266251203324
COMB_SG,w/o_VOC,"Temperature,Humidity",0.8544061302681992,0.8595796491499028,0.8542643759163407,0.8543777020823113
COMB_SX,w/o_VOC,"Temperature,Humidity",0.8544061302681992,0.8595796491499028,0.8542643759163407,0.8543777020823113
COMB_GX,w/o_VOC,"Temperature,Humidity",0.9272030651340997,0.9281839186878962,0.9272860926830453,0.9271747030208183
COMBINED3,w/o_VOC,"Temperature,Humidity",0.9348659003831418,0.93652217787055,0.9350380306675414,0.9348229214166287
SVM,w/o_Temperature,"VOC,Humidity",0.9042145593869731,0.9105321507760532,0.9042074716693803,0.9056553305408537
GBC,w/o_Temperature,"VOC,Humidity",0.9655172413793104,0.9658575867386862,0.9656022939904255,0.9657086413676895
XGB,w/o_Temperature,"VOC,Humidity",0.9655172413793104,0.9658575867386862,0.9656022939904255,0.9657086413676895
COMB_SG,w/o_Temperature,"VOC,Humidity",0.9042145593869731,0.9105321507760532,0.9042074716693803,0.9056553305408537
COMB_SX,w/o_Temperature,"VOC,Humidity",0.9042145593869731,0.9105321507760532,0.9042074716693803,0.9056553305408537
COMB_GX,w/o_Temperature,"VOC,Humidity",0.9655172413793104,0.9658575867386862,0.9656022939904255,0.9657086413676895
COMBINED3,w/o_Temperature,"VOC,Humidity",0.9655172413793104,0.9658575867386862,0.9656022939904255,0.9657086413676895
SVM,w/o_Humidity,"VOC,Temperature",0.9195402298850575,0.9231019876181167,0.9196212323718337,0.9205339875909576
GBC,w/o_Humidity,"VOC,Temperature",0.9348659003831418,0.9389647172117258,0.9346836447878949,0.9356485756626652
XGB,w/o_Humidity,"VOC,Temperature",0.946360153256705,0.951000942545693,0.9461353713559006,0.9470814313547676
COMB_SG,w/o_Humidity,"VOC,Temperature",0.9195402298850575,0.9231019876181167,0.9196212323718337,0.9205339875909576
COMB_SX,w/o_Humidity,"VOC,Temperature",0.9195402298850575,0.9231019876181167,0.9196212323718337,0.9205339875909576
COMB_GX,w/o_Humidity,"VOC,Temperature",0.9348659003831418,0.9389647172117258,0.9346836447878949,0.9356485756626652
COMBINED3,w/o_Humidity,"VOC,Temperature",0.9386973180076629,0.9421221471250857,0.938559613780143,0.9394085170300004
SVM,VOC_only,VOC,0.7164750957854407,0.8231853138225661,0.7190438871473354,0.6984046293414484
GBC,VOC_only,VOC,0.8314176245210728,0.8402632167464962,0.8320626068220295,0.8323555396726129
XGB,VOC_only,VOC,0.8314176245210728,0.8402632167464962,0.8320626068220295,0.8323555396726129
COMB_SG,VOC_only,VOC,0.7164750957854407,0.8231853138225661,0.7190438871473354,0.6984046293414484
COMB_SX,VOC_only,VOC,0.7164750957854407,0.8231853138225661,0.7190438871473354,0.6984046293414484
COMB_GX,VOC_only,VOC,0.8314176245210728,0.8402632167464962,0.8320626068220295,0.8323555396726129
COMBINED3,VOC_only,VOC,0.8314176245210728,0.8402632167464962,0.8320626068220295,0.8323555396726129
SVM,Temperature_only,Temperature,0.7662835249042146,0.7653916718202433,0.7664323669736661,0.7633135568401065
GBC,Temperature_only,Temperature,0.7739463601532567,0.7742748394922309,0.7734360444865658,0.7700487087583863
XGB,Temperature_only,Temperature,0.7739463601532567,0.7742748394922309,0.7734360444865658,0.7700487087583863
COMB_SG,Temperature_only,Temperature,0.7662835249042146,0.7653916718202433,0.7664323669736661,0.7633135568401065
COMB_SX,Temperature_only,Temperature,0.7662835249042146,0.7653916718202433,0.7664323669736661,0.7633135568401065
COMB_GX,Temperature_only,Temperature,0.7739463601532567,0.7742748394922309,0.7734360444865658,0.7700487087583863
COMBINED3,Temperature_only,Temperature,0.7739463601532567,0.7742748394922309,0.7734360444865658,0.7700487087583863
SVM,Humidity_only,Humidity,0.6130268199233716,0.617095322977676,0.6129549302163576,0.6129896018224673
GBC,Humidity_only,Humidity,0.6819923371647509,0.7056454073848032,0.6809980316395713,0.6803107813100224
XGB,Humidity_only,Humidity,0.6819923371647509,0.7056454073848032,0.6809980316395713,0.6803107813100224
COMB_SG,Humidity_only,Humidity,0.6130268199233716,0.617095322977676,0.6129549302163576,0.6129896018224673
COMB_SX,Humidity_only,Humidity,0.6130268199233716,0.617095322977676,0.6129549302163576,0.6129896018224673
COMB_GX,Humidity_only,Humidity,0.6819923371647509,0.7056454073848032,0.6809980316395713,0.6803107813100224
COMBINED3,Humidity_only,Humidity,0.6819923371647509,0.7056454073848032,0.6809980316395713,0.6803107813100224
