VOC,Temperature,Humidity,actual_vqi,actual_status,pred_class,pred_status,freshness_score,final_price
0.0335,27.0,78,92.14008859357696,Fresh,2,Fresh,9.9968756395537,87.63890221762679
0.0165,26.6,79,93.19107875708423,Fresh,2,Fresh,9.99932478446862,87.95664841159389
0.1991,27.1,77,52.14985994397758,Not Fresh,0,Not Fresh,3.0044038799816084,68.64936186317489
0.0286,29.0,66,77.2766839293857,Not Fresh,0,Not Fresh,3.448592402312543,76.63159758112825
0.0472,26.9,69,86.09019770698977,Moderate,1,Moderate,6.614790437416312,82.44184974951322
0.0269,29.0,66,77.68850563481206,Not Fresh,0,Not Fresh,3.577190003518927,76.88374169396255
0.0335,28.8,66,77.26613901374502,Not Fresh,1,Moderate,5.23750074425006,78.41734244837356
0.0212,26.5,71,91.46427757149371,Fresh,2,Fresh,9.999414829998683,87.4386981014468
0.0125,26.6,79,94.16007100514625,Fresh,2,Fresh,9.999330375719317,88.24735167726318
0.0226,26.1,88,82.34361767962999,Moderate,1,Moderate,6.468877782694227,81.17196308658322
0.024,26.3,68,87.46665526675787,Fresh,2,Fresh,7.524547412698427,83.76454399272578
0.02,26.1,88,82.97346264087031,Moderate,1,Moderate,6.46931740162013,81.36135619388124
0.0874,27.1,83,74.92325418539508,Not Fresh,0,Not Fresh,3.029967859824317,75.50694411544285
0.0125,26.7,79,94.74830629926389,Fresh,2,Fresh,9.999334651430654,88.42382654120982
0.024,26.4,64,85.19774770373265,Moderate,1,Moderate,6.4974453569332775,82.05676966805306
0.044,26.8,70,86.99144192560745,Moderate,2,Fresh,9.7286455225975,85.82607810027973
0.0212,26.6,68,89.90965572275424,Fresh,2,Fresh,9.974927772505668,86.94782448933194
0.1345,27.6,70,62.71505113673375,Not Fresh,0,Not Fresh,3.0053064945037216,71.81982183552384
0.0535,27.0,69,85.15227021040974,Moderate,1,Moderate,6.5042539953856355,82.04993505850855
0.0286,28.9,66,77.86491922350336,Not Fresh,0,Not Fresh,3.7966795076673585,77.15615527471836
0.0134,26.6,79,93.9420477493323,Fresh,2,Fresh,9.999329478140272,88.18194380293995
0.0392,27.4,76,89.83490489218944,Fresh,2,Fresh,9.99716842331824,86.94763989097507
0.0714,27.3,83,77.62275258940785,Not Fresh,0,Not Fresh,3.289431741361407,76.57625751818375
0.0809,27.2,83,75.90963129437822,Not Fresh,0,Not Fresh,3.0648446205265687,75.83773400884002
0.1231,27.8,68,62.871637026903784,Not Fresh,0,Not Fresh,3.0083657406763,71.86985684874743
0.0455,26.9,69,86.50201941241612,Moderate,1,Moderate,6.784030753940388,82.73463657766523
0.0392,27.3,76,90.42314018630707,Fresh,2,Fresh,9.99717038210338,87.12411243799549
0.0469,27.0,71,88.1796788482835,Fresh,2,Fresh,9.899237028404514,86.35314068288957
0.0776,27.3,83,76.12081460491173,Not Fresh,0,Not Fresh,3.0677221379666877,75.9039665194402
0.1322,27.5,70,63.860456973487054,Not Fresh,0,Not Fresh,3.006500957675871,72.16463804972199
0.0226,26.3,65,85.66294541072243,Moderate,1,Moderate,6.49512619903464,82.19400982225137
