VOC,Temperature,Humidity,actual_vqi,actual_status,pred_class,pred_status,freshness_score,final_price
0.0335,27.0,78,92.14008859357696,Fresh,2,Fresh,9.999493521211058,87.64152009928414
0.0165,26.6,79,93.19107875708423,Fresh,2,Fresh,9.999735782368782,87.95705940949404
0.1991,27.1,77,52.14985994397758,Not Fresh,0,Not Fresh,3.00408843482476,68.64904641801803
0.0286,29.0,66,77.2766839293857,Not Fresh,0,Not Fresh,3.4587393109790634,76.64174448979477
0.0472,26.9,69,86.09019770698977,Moderate,1,Moderate,6.6122730799873,82.43933239208422
0.0269,29.0,66,77.68850563481206,Not Fresh,0,Not Fresh,3.6702061397349337,76.97675783017854
0.0335,28.8,66,77.26613901374502,Not Fresh,1,Moderate,4.55978597107006,77.73962767519357
0.0212,26.5,71,91.46427757149371,Fresh,2,Fresh,9.999878463200558,87.43916173464868
0.0125,26.6,79,94.16007100514625,Fresh,2,Fresh,9.999741373619479,88.24776267516334
0.0226,26.1,88,82.34361767962999,Moderate,1,Moderate,6.468385377579651,81.17147068146865
0.024,26.3,68,87.46665526675787,Fresh,2,Fresh,8.64719580119315,84.88719238122052
0.02,26.1,88,82.97346264087031,Moderate,1,Moderate,6.470048326413191,81.36208711867428
0.0874,27.1,83,74.92325418539508,Not Fresh,0,Not Fresh,3.0296824982336776,75.50665875385221
0.0125,26.7,79,94.74830629926389,Fresh,2,Fresh,9.999690520984313,88.42418241076348
0.024,26.4,64,85.19774770373265,Moderate,1,Moderate,6.493771237042016,82.0530955481618
0.044,26.8,70,86.99144192560745,Moderate,2,Fresh,9.726315172110485,85.82374774979272
0.0212,26.6,68,89.90965572275424,Fresh,2,Fresh,9.97726178423542,86.9501585010617
0.1345,27.6,70,62.71505113673375,Not Fresh,0,Not Fresh,3.0049302013597474,71.81944554237987
0.0535,27.0,69,85.15227021040974,Moderate,1,Moderate,6.5036500938733806,82.0493311569963
0.0286,28.9,66,77.86491922350336,Not Fresh,0,Not Fresh,3.809327226926003,77.16880299397701
0.0134,26.6,79,93.9420477493323,Fresh,2,Fresh,9.999740476040433,88.18235480084012
0.0392,27.4,76,89.83490489218944,Fresh,2,Fresh,9.999076230283,86.94954769793983
0.0714,27.3,83,77.62275258940785,Not Fresh,0,Not Fresh,3.2656586089285082,76.55248438575086
0.0809,27.2,83,75.90963129437822,Not Fresh,0,Not Fresh,3.0647397750992766,75.83762916341274
0.1231,27.8,68,62.871637026903784,Not Fresh,0,Not Fresh,3.0075443309262675,71.86903543899741
0.0455,26.9,69,86.50201941241612,Moderate,1,Moderate,6.757143197687258,82.7077490214121
0.0392,27.3,76,90.42314018630707,Fresh,2,Fresh,9.999109922902615,87.12605197879472
0.0469,27.0,71,88.1796788482835,Fresh,2,Fresh,9.904528815590476,86.35843247007553
0.0776,27.3,83,76.12081460491173,Not Fresh,0,Not Fresh,3.063114088590897,75.89935847006441
0.1322,27.5,70,63.860456973487054,Not Fresh,0,Not Fresh,3.006139649741316,72.16427674178743
0.0226,26.3,65,85.66294541072243,Moderate,1,Moderate,6.49526878338418,82.1941524066009
0.1431,27.5,69,60.50566738323235,Not Fresh,0,Not Fresh,3.004034900160927,71.15573511513062
0.1403,27.5,69,61.18396195687576,Not Fresh,0,Not Fresh,3.0043112394121767,71.3594998264749
0.0876,27.6,82,72.64791381668945,Not Fresh,0,Not Fresh,3.007457062345545,74.80183120735238
0.0455,26.9,69,86.50201941241612,Moderate,1,Moderate,6.757143197687258,82.7077490214121
0.0435,26.9,70,87.70080125073284,Fresh,2,Fresh,9.78173514768059,86.09197552290044
0.0976,27.2,84,71.14980294443359,Not Fresh,0,Not Fresh,3.000908469597306,74.34584935292739
0.1849,27.2,76,55.71583284476581,Not Fresh,0,Not Fresh,3.0024508321672503,69.71720068559699
0.0212,26.7,67,89.78360530258614,Fresh,2,Fresh,9.842257240308772,86.7773388310846
0.0889,27.2,83,73.97164679825418,Not Fresh,0,Not Fresh,3.0089074420823474,75.2004014815586
0.0212,26.2,88,83.27100026056935,Moderate,1,Moderate,6.466373031629309,81.44767310980012
0.0212,26.8,67,90.3718405967038,Fresh,2,Fresh,9.894249533394854,87.005801712406
0.0285,28.9,66,77.88914402970491,Not Fresh,0,Not Fresh,3.996168795657357,77.36291200456883
0.024,26.4,64,85.19774770373265,Moderate,1,Moderate,6.493771237042016,82.0530955481618
0.0212,26.5,69,90.03570614292228,Fresh,2,Fresh,9.991355065733181,87.00206690860988
0.0144,26.5,79,93.11156439319915,Fresh,2,Fresh,9.996410365373325,87.92987968333308
0.0635,26.8,81,81.55331900201942,Moderate,1,Moderate,6.501656933198403,80.96765263380424
0.0776,27.3,83,76.12081460491173,Not Fresh,0,Not Fresh,3.063114088590897,75.89935847006441
0.0526,27.0,69,85.3702934662237,Moderate,1,Moderate,6.505846904652426,82.11693494451953
0.1463,27.5,69,59.73047358478274,Not Fresh,0,Not Fresh,3.003828815821997,70.92297089125682
0.1167,27.6,68,65.5984952120383,Not Fresh,0,Not Fresh,3.016244646588359,72.69579321019985
0.0809,27.2,83,75.90963129437822,Not Fresh,0,Not Fresh,3.0647397750992766,75.83762916341274
0.0674,26.8,81,80.60855156015894,Moderate,1,Moderate,6.500614261582681,80.68317972963037
0.0412,27.1,76,91.11511465051134,Fresh,2,Fresh,9.995988313732953,87.33052270888635
0.0392,27.3,77,89.70885447202134,Fresh,2,Fresh,9.998885643449224,86.91154198505563
0.02,26.2,88,83.56169793498796,Moderate,1,Moderate,6.467355854016155,81.53586523451256
0.0107,26.8,79,95.77258810500946,Fresh,2,Fresh,9.999600435548226,88.73137686705105
0.0472,26.9,69,86.09019770698977,Moderate,1,Moderate,6.6122730799873,82.43933239208422
0.0433,27.0,71,89.05177187153932,Fresh,2,Fresh,9.977672511217119,86.69320407267891
