VOC,Temperature,Humidity,actual_vqi,actual_status,pred_class,pred_status,freshness_score,final_price
0.0335,27.0,78,92.14008859357696,Fresh,2,Fresh,9.997589516743227,87.63961609481632
0.0165,26.6,79,93.19107875708423,Fresh,2,Fresh,9.999382990802886,87.95670661792815
0.1991,27.1,77,52.14985994397758,Not Fresh,0,Not Fresh,3.003162058742181,68.64812004193546
0.0286,29.0,66,77.2766839293857,Not Fresh,0,Not Fresh,3.3161708553638225,76.49917603417953
0.0472,26.9,69,86.09019770698977,Moderate,1,Moderate,6.579223436434845,82.40628274853177
0.0269,29.0,66,77.68850563481206,Not Fresh,0,Not Fresh,3.5063238155860326,76.81287550602964
0.0335,28.8,66,77.26613901374502,Not Fresh,1,Moderate,4.903745202398807,78.0835869065223
0.0212,26.5,71,91.46427757149371,Fresh,2,Fresh,9.999537889036114,87.43882116048422
0.0125,26.6,79,94.16007100514625,Fresh,2,Fresh,9.99938671830335,88.24740801984723
0.0226,26.1,88,82.34361767962999,Moderate,1,Moderate,6.480721594109813,81.1838068979988
0.024,26.3,68,87.46665526675787,Fresh,2,Fresh,7.953295941356516,84.19329252138388
0.02,26.1,88,82.97346264087031,Moderate,1,Moderate,6.481059336568525,81.37309812882962
0.0874,27.1,83,74.92325418539508,Not Fresh,0,Not Fresh,3.020356200919437,75.49733245653796
0.0125,26.7,79,94.74830629926389,Fresh,2,Fresh,9.999352816546574,88.42384470632574
0.024,26.4,64,85.19774770373265,Moderate,1,Moderate,6.501424368443817,82.06074867956362
0.044,26.8,70,86.99144192560745,Moderate,2,Fresh,9.789481392338148,85.88691397002039
0.0212,26.6,68,89.90965572275424,Fresh,2,Fresh,9.98297618449138,86.95587290131765
0.1345,27.6,70,62.71505113673375,Not Fresh,0,Not Fresh,3.003844452508669,71.8183597935288
0.0535,27.0,69,85.15227021040974,Moderate,1,Moderate,6.502919169607904,82.04860023273082
0.0286,28.9,66,77.86491922350336,Not Fresh,0,Not Fresh,3.551714920149679,76.91119068720069
0.0134,26.6,79,93.9420477493323,Fresh,2,Fresh,9.99938611991732,88.182000444717
0.0392,27.4,76,89.83490489218944,Fresh,2,Fresh,9.997504940287682,86.94797640794451
0.0714,27.3,83,77.62275258940785,Not Fresh,0,Not Fresh,3.199687117411378,76.48651289423373
0.0809,27.2,83,75.90963129437822,Not Fresh,0,Not Fresh,3.04360202893421,75.81649141724766
0.1231,27.8,68,62.871637026903784,Not Fresh,0,Not Fresh,3.0059762430649855,71.86746735113613
0.0455,26.9,69,86.50201941241612,Moderate,1,Moderate,6.697073085221104,82.64767890894595
0.0392,27.3,76,90.42314018630707,Fresh,2,Fresh,9.997527402034093,87.1244694579262
0.0469,27.0,71,88.1796788482835,Fresh,2,Fresh,9.932285747797323,86.38618940228238
0.0776,27.3,83,76.12081460491173,Not Fresh,0,Not Fresh,3.0466476516498755,75.8828920331234
0.1322,27.5,70,63.860456973487054,Not Fresh,0,Not Fresh,3.0046507514297143,72.16278784347583
0.0226,26.3,65,85.66294541072243,Moderate,1,Moderate,6.496697295728228,82.19558091894496
0.1431,27.5,69,60.50566738323235,Not Fresh,0,Not Fresh,3.0036378668070456,71.15533808177675
0.1403,27.5,69,61.18396195687576,Not Fresh,0,Not Fresh,3.0038220929745454,71.35901068003727
0.0876,27.6,82,72.64791381668945,Not Fresh,0,Not Fresh,3.0051586086637054,74.79953275367053
0.0455,26.9,69,86.50201941241612,Moderate,1,Moderate,6.697073085221104,82.64767890894595
0.0435,26.9,70,87.70080125073284,Fresh,2,Fresh,9.82642804271822,86.13666841793808
0.0976,27.2,84,71.14980294443359,Not Fresh,0,Not Fresh,3.0010478252662303,74.34598870859631
0.1849,27.2,76,55.71583284476581,Not Fresh,0,Not Fresh,3.002030838837214,69.71678069226695
0.0212,26.7,67,89.78360530258614,Fresh,2,Fresh,9.891533485786882,86.82661507656273
0.0889,27.2,83,73.97164679825418,Not Fresh,0,Not Fresh,3.0063804735895907,75.19787451306584
0.0212,26.2,88,83.27100026056935,Moderate,1,Moderate,6.478609140045937,81.45990921821674
0.0212,26.8,67,90.3718405967038,Fresh,2,Fresh,9.926195008229923,87.03774718724107
0.0285,28.9,66,77.88914402970491,Not Fresh,0,Not Fresh,3.729664762900921,77.09640797181238
0.024,26.4,64,85.19774770373265,Moderate,1,Moderate,6.501424368443817,82.06074867956362
0.0212,26.5,69,90.03570614292228,Fresh,2,Fresh,9.992634065930389,87.00334590880708
0.0144,26.5,79,93.11156439319915,Fresh,2,Fresh,9.997166046139249,87.930635364099
0.0635,26.8,81,81.55331900201942,Moderate,1,Moderate,6.50151959800055,80.96751529860637
0.0776,27.3,83,76.12081460491173,Not Fresh,0,Not Fresh,3.0466476516498755,75.8828920331234
