VOC,Temperature,Humidity,actual_vqi,actual_status,pred_class,pred_status,freshness_score,final_price
0.0335,27.0,78,92.14008859357696,Fresh,2,Fresh,9.993781507807565,87.63580808588065
0.0165,26.6,79,93.19107875708423,Fresh,2,Fresh,9.998677407671094,87.95600103479636
0.1991,27.1,77,52.14985994397758,Not Fresh,0,Not Fresh,3.0013093065770233,68.64626728977031
0.0286,29.0,66,77.2766839293857,Not Fresh,0,Not Fresh,3.0310339441333416,76.21403912294905
0.0472,26.9,69,86.09019770698977,Moderate,1,Moderate,6.513124149329935,82.34018346142686
0.0269,29.0,66,77.68850563481206,Not Fresh,0,Not Fresh,3.1785591672882294,76.48511085773184
0.0335,28.8,66,77.26613901374502,Not Fresh,1,Moderate,5.591663665056304,78.7715053691798
0.0212,26.5,71,91.46427757149371,Fresh,2,Fresh,9.998856740707225,87.43814001215534
0.0125,26.6,79,94.16007100514625,Fresh,2,Fresh,9.998677407671094,88.24669870921498
0.0226,26.1,88,82.34361767962999,Moderate,1,Moderate,6.505394027170139,81.20847933105914
0.024,26.3,68,87.46665526675787,Fresh,1,Moderate,6.5654962216832535,82.80549280171061
0.02,26.1,88,82.97346264087031,Moderate,1,Moderate,6.503081356879193,81.39512014914028
0.0874,27.1,83,74.92325418539508,Not Fresh,0,Not Fresh,3.0017036062909552,75.47867986190948
0.0125,26.7,79,94.74830629926389,Fresh,2,Fresh,9.998677407671094,88.42316929745027
0.024,26.4,64,85.19774770373265,Moderate,1,Moderate,6.51673063124742,82.07605494236722
0.044,26.8,70,86.99144192560745,Moderate,2,Fresh,9.915813832793477,86.0132464104757
0.0212,26.6,68,89.90965572275424,Fresh,2,Fresh,9.994404985003298,86.96730170182957
0.1345,27.6,70,62.71505113673375,Not Fresh,0,Not Fresh,3.0016729548065113,71.81618829582663
0.0535,27.0,69,85.15227021040974,Moderate,1,Moderate,6.501457321076952,82.04713838419988
0.0286,28.9,66,77.86491922350336,Not Fresh,0,Not Fresh,3.036490306597032,76.39596607364804
0.0134,26.6,79,93.9420477493323,Fresh,2,Fresh,9.998677407671094,88.18129173247078
0.0392,27.4,76,89.83490489218944,Fresh,2,Fresh,9.994362360297044,86.94483382795389
0.0714,27.3,83,77.62275258940785,Not Fresh,0,Not Fresh,3.0677441343771186,76.35456991119946
0.0809,27.2,83,75.90963129437822,Not Fresh,0,Not Fresh,3.0013265366040778,75.77421592491753
0.1231,27.8,68,62.871637026903784,Not Fresh,0,Not Fresh,3.0028400673424205,71.86433117541355
0.0455,26.9,69,86.50201941241612,Moderate,1,Moderate,6.576932860288794,82.52753868401363
0.0392,27.3,76,90.42314018630707,Fresh,2,Fresh,9.994362360297044,87.12130441618918
0.0469,27.0,71,88.1796788482835,Fresh,2,Fresh,9.987799612211015,86.44170326669607
0.0776,27.3,83,76.12081460491173,Not Fresh,0,Not Fresh,3.013714777767833,75.84995915924134
0.1322,27.5,70,63.860456973487054,Not Fresh,0,Not Fresh,3.0016729548065113,72.15981004685263
0.0226,26.3,65,85.66294541072243,Moderate,1,Moderate,6.499554320416324,82.19843794363305
0.1431,27.5,69,60.50566738323235,Not Fresh,0,Not Fresh,3.002843800099283,71.15454401506899
0.1403,27.5,69,61.18396195687576,Not Fresh,0,Not Fresh,3.002843800099283,71.35803238716201
