VOC,Temperature,Humidity,actual_vqi,actual_status,pred_class,pred_status,freshness_score,final_price
0.0335,27.0,78,92.14008859357696,Fresh,2,Fresh,9.999969771299833,87.64199634937292
0.0165,26.6,79,93.19107875708423,Fresh,2,Fresh,9.999972161266147,87.9572957883914
0.1991,27.1,77,52.14985994397758,Not Fresh,0,Not Fresh,3.0074984533861935,68.65245643657947
0.0286,29.0,66,77.2766839293857,Not Fresh,0,Not Fresh,3.8661508604917447,77.04915603930745
0.0472,26.9,69,86.09019770698977,Moderate,1,Moderate,6.716456725502688,82.54351603759962
0.0269,29.0,66,77.68850563481206,Not Fresh,0,Not Fresh,3.975820839749624,77.28237253019323
0.0335,28.8,66,77.26613901374502,Not Fresh,1,Moderate,4.883337823443816,78.06317952756731
0.0212,26.5,71,91.46427757149371,Fresh,2,Fresh,9.99997291929014,87.43925619073826
0.0125,26.6,79,94.16007100514625,Fresh,2,Fresh,9.99998334376754,88.24800464531141
0.0226,26.1,88,82.34361767962999,Moderate,1,Moderate,6.4323615382183155,81.1354468421073
0.024,26.3,68,87.46665526675787,Fresh,2,Fresh,8.4835986037136,84.72359518374097
0.02,26.1,88,82.97346264087031,Moderate,1,Moderate,6.435553446361068,81.32759223862216
0.0874,27.1,83,74.92325418539508,Not Fresh,0,Not Fresh,3.058232113357679,75.5352083689762
0.0125,26.7,79,94.74830629926389,Fresh,2,Fresh,9.999991895190215,88.42448378496938
0.024,26.4,64,85.19774770373265,Moderate,1,Moderate,6.4781600826191355,82.03748439373892
0.044,26.8,70,86.99144192560745,Moderate,2,Fresh,9.541477212401523,85.63890979008376
0.0212,26.6,68,89.90965572275424,Fresh,2,Fresh,9.955450560008037,86.9283472768343
0.1345,27.6,70,62.71505113673375,Not Fresh,0,Not Fresh,3.0089400342009314,71.82345537522106
0.0535,27.0,69,85.15227021040974,Moderate,1,Moderate,6.507050669694319,82.05273173281724
0.0286,28.9,66,77.86491922350336,Not Fresh,0,Not Fresh,4.556868708737685,77.91634447578869
0.0134,26.6,79,93.9420477493323,Fresh,2,Fresh,9.999981548609448,88.18259587340913
0.0392,27.4,76,89.83490489218944,Fresh,2,Fresh,9.999974486339436,86.95044595399625
0.0714,27.3,83,77.62275258940785,Not Fresh,0,Not Fresh,3.5111193483456953,76.79794512516804
0.0809,27.2,83,75.90963129437822,Not Fresh,0,Not Fresh,3.12836270444906,75.90125209276253
0.1231,27.8,68,62.871637026903784,Not Fresh,0,Not Fresh,3.013891414010179,71.87538252208132
0.0455,26.9,69,86.50201941241612,Moderate,1,Moderate,6.991128647591982,82.94173447131682
0.0392,27.3,76,90.42314018630707,Fresh,2,Fresh,9.999978403909715,87.12692045980184
0.0469,27.0,71,88.1796788482835,Fresh,2,Fresh,9.81067444459801,86.26457809908305
0.0776,27.3,83,76.12081460491173,Not Fresh,0,Not Fresh,3.121729498165543,75.95797387963906
0.1322,27.5,70,63.860456973487054,Not Fresh,0,Not Fresh,3.011328960545231,72.16946605259135
0.0226,26.3,65,85.66294541072243,Moderate,1,Moderate,6.490698077652957,82.18958170086968
0.1431,27.5,69,60.50566738323235,Not Fresh,0,Not Fresh,3.006784426131807,71.15848464110151
0.1403,27.5,69,61.18396195687576,Not Fresh,0,Not Fresh,3.007337104634306,71.36252569169703
0.0876,27.6,82,72.64791381668945,Not Fresh,0,Not Fresh,3.013852298066882,74.8082264430737
0.0455,26.9,69,86.50201941241612,Moderate,1,Moderate,6.991128647591982,82.94173447131682
0.0435,26.9,70,87.70080125073284,Fresh,2,Fresh,9.65890293756092,85.96914331278077
0.0976,27.2,84,71.14980294443359,Not Fresh,0,Not Fresh,3.000700093445119,74.3456409767752
0.1849,27.2,76,55.71583284476581,Not Fresh,0,Not Fresh,3.004175499803057,69.71892535323279
0.0212,26.7,67,89.78360530258614,Fresh,2,Fresh,9.694756414788607,86.62983800556445
