VOC,Temperature,Humidity,actual_vqi,actual_status,pred_class,pred_status,freshness_score,final_price
0.0335,27.0,78,92.14008859357696,Fresh,2,Fresh,9.999017271122284,87.64104384919537
0.0165,26.6,79,93.19107875708423,Fresh,2,Fresh,9.999499403471418,87.95682303059668
0.1991,27.1,77,52.14985994397758,Not Fresh,0,Not Fresh,3.0006784162633267,68.6456363994566
0.0286,29.0,66,77.2766839293857,Not Fresh,0,Not Fresh,3.051327761466382,76.23433294028209
0.0472,26.9,69,86.09019770698977,Moderate,1,Moderate,6.508089434471913,82.33514874656885
0.0269,29.0,66,77.68850563481206,Not Fresh,0,Not Fresh,3.364591439720243,76.67114313016386
0.0335,28.8,66,77.26613901374502,Not Fresh,0,Not Fresh,4.236234118696302,77.4160758228198
0.0212,26.5,71,91.46427757149371,Fresh,2,Fresh,9.999784007110975,87.4390672785591
0.0125,26.6,79,94.16007100514625,Fresh,2,Fresh,9.999499403471418,88.24752070501529
0.0226,26.1,88,82.34361767962999,Moderate,1,Moderate,6.504409216940985,81.20749452082998
0.024,26.3,68,87.46665526675787,Fresh,2,Fresh,8.810792998672696,85.05078957870006
0.02,26.1,88,82.97346264087031,Moderate,1,Moderate,6.504543206465314,81.39658199872642
0.0874,27.1,83,74.92325418539508,Not Fresh,0,Not Fresh,3.001132883109676,75.47810913872821
0.0125,26.7,79,94.74830629926389,Fresh,2,Fresh,9.999389146778412,88.42388103655759
0.024,26.4,64,85.19774770373265,Moderate,1,Moderate,6.5093823914648965,82.06870670258469
0.044,26.8,70,86.99144192560745,Moderate,2,Fresh,9.911153131819447,86.00858570950169
0.0212,26.6,68,89.90965572275424,Fresh,2,Fresh,9.999073008462801,86.97196972528907
0.1345,27.6,70,62.71505113673375,Not Fresh,0,Not Fresh,3.000920368518564,71.81543570953869
0.0535,27.0,69,85.15227021040974,Moderate,1,Moderate,6.500249518052442,82.04593058117536
0.0286,28.9,66,77.86491922350336,Not Fresh,0,Not Fresh,3.061785745114321,76.42126151216533
0.0134,26.6,79,93.9420477493323,Fresh,2,Fresh,9.999499403471418,88.18211372827112
0.0392,27.4,76,89.83490489218944,Fresh,2,Fresh,9.998177974226564,86.94864944188339
0.0714,27.3,83,77.62275258940785,Not Fresh,0,Not Fresh,3.020197869511321,76.30702364633368
0.0809,27.2,83,75.90963129437822,Not Fresh,0,Not Fresh,3.0011168457494932,75.77400623406297
0.1231,27.8,68,62.871637026903784,Not Fresh,0,Not Fresh,3.001197247842356,71.86268835591349
0.0455,26.9,69,86.50201941241612,Moderate,1,Moderate,6.523157747782534,82.47376357150738
0.0392,27.3,76,90.42314018630707,Fresh,2,Fresh,9.998241441895516,87.12518349778765
0.0469,27.0,71,88.1796788482835,Fresh,2,Fresh,9.998383186582942,86.452286841068
0.0776,27.3,83,76.12081460491173,Not Fresh,0,Not Fresh,3.004498679016251,75.84074306048977
0.1322,27.5,70,63.860456973487054,Not Fresh,0,Not Fresh,3.0009503389374004,72.15908743098352
0.0226,26.3,65,85.66294541072243,Moderate,1,Moderate,6.499839489115402,82.19872311233213
0.1431,27.5,69,60.50566738323235,Not Fresh,0,Not Fresh,3.001285374190047,71.15298558915974
0.1403,27.5,69,61.18396195687576,Not Fresh,0,Not Fresh,3.001285374190047,71.35647396125277
0.0876,27.6,82,72.64791381668945,Not Fresh,0,Not Fresh,3.001061826624209,74.79543597163104
0.0455,26.9,69,86.50201941241612,Moderate,1,Moderate,6.523157747782534,82.47376357150738
0.0435,26.9,70,87.70080125073284,Fresh,2,Fresh,9.90456735780026,86.21480773302011
