VOC,Temperature,Humidity,Remaining_Days
0.0054,27.4,76.0,10.0
0.0065,27.4,76.0,10.0
0.0071,27.4,75.0,10.0
0.0078,27.3,76.0,10.0
0.0078,28.3,70.0,10.0
0.0078,26.3,75.0,10.0
0.0085,28.5,69.0,10.0
0.0085,27.1,74.0,10.0
0.0085,27.1,76.0,10.0
0.0085,28.3,73.0,10.0
0.0085,27.4,75.0,10.0
0.0085,26.3,75.0,10.0
0.0092,27.4,75.0,10.0
0.0092,26.3,76.0,10.0
0.0092,26.2,76.0,10.0
0.0092,26.8,71.0,10.0
0.0092,26.2,76.0,10.0
0.0092,27.4,75.0,10.0
0.0092,28.5,70.0,10.0
0.0092,28.2,65.0,10.0
0.0092,26.3,75.0,10.0
0.0092,26.3,75.0,10.0
0.0092,26.3,76.0,10.0
0.0092,26.3,75.0,10.0
0.0092,26.2,76.0,10.0
0.0099,26.3,76.0,10.0
0.0099,26.3,76.0,10.0
0.0099,26.3,76.0,10.0
0.0099,27.4,75.0,10.0
0.0099,26.2,76.0,10.0
0.0099,26.7,71.0,10.0
0.0099,26.5,79.0,10.0
0.0099,28.3,71.0,10.0
0.0099,27.4,75.0,10.0
0.0099,26.2,76.0,10.0
0.0099,26.3,76.0,10.0
0.0099,26.4,76.0,10.0
0.0099,27.6,68.0,10.0
0.0099,27.4,76.0,10.0
0.0099,27.4,75.0,10.0
0.0099,27.2,74.0,10.0
0.0099,26.3,76.0,10.0
0.0099,26.3,76.0,10.0
0.0099,26.2,76.0,10.0
0.0099,26.2,76.0,10.0
0.0099,26.3,76.0,10.0
0.0099,26.3,75.0,10.0
0.0099,26.2,76.0,10.0
0.0099,27.4,75.0,10.0
0.0099,26.7,76.0,10.0
0.0099,26.3,76.0,10.0
0.0099,26.4,76.0,10.0
0.0107,27.2,75.0,10.0
0.0107,26.5,75.0,10.0
0.0107,26.7,75.0,10.0
0.0107,26.2,76.0,10.0
0.0107,26.1,76.0,10.0
0.0107,26.6,75.0,10.0
0.0107,26.5,75.0,10.0
0.0107,27.1,76.0,10.0
0.0107,26.7,75.0,10.0
0.0107,26.6,75.0,10.0
0.0107,26.2,76.0,10.0
0.0107,26.9,75.0,10.0
0.0107,28.3,71.0,10.0
0.0107,28.4,70.0,10.0
0.0107,26.4,76.0,10.0
0.0107,26.5,76.0,10.0
0.0107,28.9,73.0,10.0
0.0107,26.5,76.0,10.0
0.0107,26.5,76.0,10.0
0.0107,26.2,76.0,10.0
0.0107,26.4,76.0,10.0
0.0107,26.2,76.0,10.0
0.0107,26.3,76.0,10.0
0.0107,26.3,76.0,10.0
0.0107,26.3,76.0,10.0
0.0107,27.3,76.0,10.0
0.0107,26.2,76.0,10.0
0.0107,28.1,64.0,10.0
0.0107,26.2,76.0,10.0
0.0107,26.2,76.0,10.0
0.0107,27.5,65.0,10.0
0.0107,26.2,76.0,10.0
0.0107,26.2,76.0,10.0
0.0107,26.4,76.0,10.0
0.0107,26.2,76.0,10.0
0.0107,26.2,76.0,10.0
0.0107,26.3,76.0,10.0
0.0107,26.2,76.0,10.0
0.0107,26.2,76.0,10.0
0.0107,26.2,76.0,10.0
0.0107,27.8,62.0,10.0
0.0107,26.6,75.0,10.0
0.0107,26.2,76.0,10.0
0.0107,26.8,71.0,10.0
0.0107,27.4,75.0,10.0
0.0107,27.4,76.0,10.0
0.0107,26.3,76.0,10.0
0.0107,26.6,76.0,10.0
0.0107,26.2,76.0,10.0
0.0107,26.3,75.0,10.0
0.0107,26.3,76.0,10.0
0.0107,28.0,64.0,10.0
0.0107,26.4,76.0,10.0
0.0107,26.3,76.0,10.0
0.0107,26.3,76.0,10.0
0.0116,26.6,76.0,10.0
0.0116,27.0,70.0,10.0
0.0116,27.2,76.0,10.0
0.0116,28.3,75.0,10.0
0.0116,28.0,62.0,10.0
0.0116,26.7,75.0,10.0
0.0116,26.8,75.0,10.0
0.0116,26.9,70.0,10.0
0.0116,27.0,72.0,10.0
0.0116,26.8,75.0,10.0
0.0116,27.0,76.0,10.0
0.0116,28.0,62.0,10.0
0.0116,28.3,62.0,10.0
0.0116,28.0,65.0,10.0
0.0116,26.8,75.0,10.0
0.0116,26.6,76.0,10.0
0.0116,26.7,76.0,10.0
0.0116,26.7,76.0,10.0
0.0116,26.6,76.0,10.0
0.0116,26.6,76.0,10.0
0.0116,26.7,75.0,10.0
0.0116,28.3,70.0,10.0
0.0116,28.4,69.0,10.0
0.0116,27.5,78.0,10.0
0.0116,27.9,78.0,10.0
0.0116,27.5,76.0,10.0
0.0116,26.3,76.0,10.0
0.0116,26.4,76.0,10.0
0.0116,27.5,68.0,10.0
0.0116,28.3,71.0,10.0
0.0116,27.9,66.0,10.0
0.0116,27.6,67.0,10.0
0.0116,27.6,67.0,10.0
0.0116,27.6,67.0,10.0
0.0116,26.2,76.0,10.0
0.0116,27.5,69.0,10.0
0.0116,27.5,69.0,10.0
0.0116,27.0,70.0,10.0
0.0116,27.1,68.0,10.0
0.0116,27.4,76.0,10.0
0.0116,27.4,77.0,10.0
0.0116,27.3,77.0,10.0
0.0116,27.1,69.0,10.0
0.0116,28.3,71.0,10.0
0.0116,28.3,73.0,10.0
0.0116,26.2,76.0,10.0
0.0116,26.3,76.0,10.0
0.0116,27.4,76.0,10.0
0.0116,27.3,76.0,10.0
0.0116,28.4,71.0,10.0
0.0116,28.3,71.0,10.0
0.0116,27.4,76.0,10.0
0.0116,26.3,76.0,10.0
0.0116,26.3,75.0,10.0
0.0125,26.4,75.0,10.0
0.0125,28.4,61.0,10.0
0.0125,28.3,62.0,10.0
0.0125,27.0,68.0,10.0
0.0125,27.1,68.0,10.0
0.0125,27.1,68.0,10.0
0.0125,27.2,68.0,10.0
0.0125,27.2,67.0,10.0
0.0125,27.3,66.0,10.0
0.0125,27.3,66.0,10.0
0.0125,28.3,71.0,10.0
0.0125,28.3,71.0,10.0
0.0125,27.0,76.0,10.0
0.0125,27.1,76.0,10.0
0.0125,27.1,76.0,10.0
0.0125,27.1,76.0,10.0
0.0125,27.2,75.0,10.0
0.0125,27.3,75.0,10.0
0.0125,27.3,75.0,10.0
0.0125,27.4,76.0,10.0
0.0125,27.5,74.0,10.0
0.0125,27.6,73.0,10.0
0.0125,27.8,73.0,10.0
0.0125,27.9,72.0,10.0
0.0125,28.1,73.0,10.0
0.0125,28.3,71.0,10.0
0.0125,28.3,71.0,10.0
0.0125,28.6,71.0,10.0
0.0125,28.3,70.0,10.0
0.0125,28.3,70.0,10.0
0.0125,28.3,71.0,10.0
0.0125,28.3,71.0,10.0
0.0125,28.4,71.0,10.0
0.0125,28.1,78.0,10.0
0.0125,28.5,70.0,10.0
0.0125,28.5,70.0,10.0
0.0125,26.5,76.0,10.0
0.0125,26.5,76.0,10.0
0.0125,26.5,76.0,10.0
0.0125,26.5,76.0,10.0
0.0125,26.6,76.0,10.0
0.0125,26.6,76.0,10.0
0.0125,26.6,76.0,10.0
0.0125,28.1,64.0,10.0
0.0125,28.0,66.0,10.0
0.0125,27.9,64.0,10.0
0.0125,27.9,65.0,10.0
0.0125,27.4,76.0,10.0
0.0125,27.3,76.0,10.0
0.0125,27.3,76.0,10.0
0.0125,28.4,73.0,10.0
0.0125,28.2,72.0,10.0
0.0125,27.0,74.0,10.0
0.0125,27.2,74.0,10.0
0.0125,27.2,75.0,10.0
0.0125,27.2,76.0,10.0
0.0125,27.2,76.0,10.0
0.0125,27.2,76.0,10.0
0.0125,28.3,75.0,10.0
0.0125,27.3,76.0,10.0
0.0125,26.6,76.0,10.0
0.0125,26.6,76.0,10.0
0.0125,26.7,76.0,10.0
0.0125,26.7,76.0,10.0
0.0125,28.3,73.0,10.0
0.0125,28.3,73.0,10.0
0.0125,27.1,76.0,10.0
0.0125,27.1,76.0,10.0
0.0125,27.1,76.0,10.0
0.0125,27.1,76.0,10.0
0.0125,28.2,71.0,10.0
0.0125,28.0,69.0,10.0
0.0125,28.2,62.0,10.0
0.0125,28.2,63.0,10.0
0.0125,27.9,63.0,10.0
0.0125,28.0,63.0,10.0
0.0125,26.7,75.0,10.0
0.0125,26.6,75.0,10.0
0.0125,26.7,76.0,10.0
0.0125,26.6,76.0,10.0
0.0125,26.7,75.0,10.0
0.0125,26.7,75.0,10.0
0.0125,26.6,76.0,10.0
0.0125,26.6,76.0,10.0
0.0125,26.6,76.0,10.0
0.0125,27.6,64.0,10.0
0.0125,27.9,62.0,10.0
0.0125,28.0,62.0,10.0
0.0125,28.3,63.0,10.0
0.0125,28.0,63.0,10.0
0.0125,28.5,61.0,10.0
0.0125,26.4,76.0,10.0
0.0125,26.6,75.0,10.0
0.0125,26.4,76.0,10.0
0.0125,27.0,69.0,10.0
