created_at,entry_id,VOC,Temperature,Humidity,latitude,longitude,elevation,status,Remaining_Days
2026-01-01 05:34:36+00:00,1,0.02,27.5,72.0,,,,,9.0
2026-01-01 05:34:56+00:00,2,0.0187,27.5,73.0,,,,,10.0
2026-01-01 05:35:16+00:00,3,0.02,27.5,73.0,,,,,9.0
2026-01-01 05:35:37+00:00,4,0.02,27.5,74.0,,,,,9.0
2026-01-01 05:35:57+00:00,5,0.0212,27.5,73.0,,,,,9.0
2026-01-01 05:36:17+00:00,6,0.0226,27.5,75.0,,,,,9.0
2026-01-01 05:36:37+00:00,7,0.0212,27.5,73.0,,,,,9.0
2026-01-01 05:36:57+00:00,8,0.0165,27.5,73.0,,,,,10.0
2026-01-01 05:37:17+00:00,9,0.0212,27.5,72.0,,,,,9.0
2026-01-01 05:37:37+00:00,10,0.0212,27.7,74.0,,,,,9.0
2026-01-01 05:37:57+00:00,11,0.0212,27.5,74.0,,,,,9.0
2026-01-01 05:38:17+00:00,12,0.0212,27.5,74.0,,,,,9.0
2026-01-01 05:38:37+00:00,13,0.0212,27.5,73.0,,,,,9.0
2026-01-01 05:38:57+00:00,14,0.0212,27.5,72.0,,,,,9.0
2026-01-01 05:39:18+00:00,15,0.0212,27.5,72.0,,,,,9.0
2026-01-01 05:39:37+00:00,16,0.0212,27.5,73.0,,,,,9.0
2026-01-01 05:39:58+00:00,17,0.0212,27.5,73.0,,,,,9.0
2026-01-01 05:40:18+00:00,18,0.0187,27.5,72.0,,,,,10.0
2026-01-01 05:40:37+00:00,19,0.0212,27.5,72.0,,,,,9.0
2026-01-01 05:40:58+00:00,20,0.0212,27.5,72.0,,,,,9.0
2026-01-01 05:41:18+00:00,21,0.0176,27.5,71.0,,,,,10.0
2026-01-01 05:41:38+00:00,22,0.0212,27.4,71.0,,,,,9.0
2026-01-01 05:41:58+00:00,23,0.0187,27.4,70.0,,,,,10.0
2026-01-01 05:42:18+00:00,24,0.02,27.4,71.0,,,,,9.0
2026-01-01 05:42:38+00:00,25,0.0176,27.4,70.0,,,,,10.0
2026-01-01 05:42:58+00:00,26,0.0187,27.4,71.0,,,,,10.0
2026-01-01 05:43:19+00:00,27,0.02,27.4,71.0,,,,,9.0
2026-01-01 05:43:39+00:00,28,0.0154,27.4,72.0,,,,,10.0
2026-01-01 05:43:59+00:00,29,0.0187,27.4,73.0,,,,,10.0
2026-01-01 05:44:19+00:00,30,0.0187,27.4,73.0,,,,,10.0
2026-01-01 05:44:39+00:00,31,0.02,27.4,73.0,,,,,9.0
2026-01-01 05:44:59+00:00,32,0.0212,27.4,73.0,,,,,9.0
2026-01-01 05:45:19+00:00,33,0.0212,27.4,75.0,,,,,9.0
2026-01-01 05:45:39+00:00,34,0.0212,27.4,73.0,,,,,9.0
2026-01-01 05:45:59+00:00,35,0.0212,27.4,72.0,,,,,9.0
2026-01-01 05:46:19+00:00,36,0.0212,27.4,72.0,,,,,9.0
2026-01-01 05:46:39+00:00,37,0.02,27.4,74.0,,,,,9.0
2026-01-01 05:46:59+00:00,38,0.0212,27.4,75.0,,,,,9.0
2026-01-01 05:47:19+00:00,39,0.0212,27.4,76.0,,,,,9.0
2026-01-01 05:47:39+00:00,40,0.0212,27.5,76.0,,,,,9.0
