model,setting,features_used,acc,precision_macro,recall_macro,f1_macro
SVM,full,"VOC,Temperature,Humidity",0.9875,0.9306010928961749,0.980952380952381,0.9517872992818527
GBC,full,"VOC,Temperature,Humidity",0.99375,0.9972677595628415,0.9904761904761905,0.993797340013121
XGB,full,"VOC,Temperature,Humidity",0.99375,0.9972677595628415,0.9904761904761905,0.993797340013121
COMB_SG,full,"VOC,Temperature,Humidity",0.9875,0.9306010928961749,0.980952380952381,0.9517872992818527
COMB_SX,full,"VOC,Temperature,Humidity",0.9875,0.9306010928961749,0.980952380952381,0.9517872992818527
COMB_GX,full,"VOC,Temperature,Humidity",0.99375,0.9972677595628415,0.9904761904761905,0.993797340013121
COMBINED3,full,"VOC,Temperature,Humidity",0.99375,0.9972677595628415,0.9904761904761905,0.993797340013121
SVM,w/o_VOC,"Temperature,Humidity",0.9875,0.9306010928961749,0.980952380952381,0.9517872992818527
GBC,w/o_VOC,"Temperature,Humidity",0.98125,0.9787037037037036,0.9849665486029123,0.9817661153643855
XGB,w/o_VOC,"Temperature,Humidity",0.9875,0.9945799457994581,0.980952380952381,0.9874638379942141
COMB_SG,w/o_VOC,"Temperature,Humidity",0.9875,0.9306010928961749,0.980952380952381,0.9517872992818527
COMB_SX,w/o_VOC,"Temperature,Humidity",0.9875,0.9306010928961749,0.980952380952381,0.9517872992818527
COMB_GX,w/o_VOC,"Temperature,Humidity",0.98125,0.9787037037037036,0.9849665486029123,0.9817661153643855
COMBINED3,w/o_VOC,"Temperature,Humidity",0.9875,0.9306010928961749,0.980952380952381,0.9517872992818527
SVM,w/o_Temperature,"VOC,Humidity",1.0,1.0,1.0,1.0
GBC,w/o_Temperature,"VOC,Humidity",0.99375,0.9972677595628415,0.9904761904761905,0.993797340013121
XGB,w/o_Temperature,"VOC,Humidity",0.99375,0.9972677595628415,0.9904761904761905,0.993797340013121
COMB_SG,w/o_Temperature,"VOC,Humidity",1.0,1.0,1.0,1.0
COMB_SX,w/o_Temperature,"VOC,Humidity",1.0,1.0,1.0,1.0
COMB_GX,w/o_Temperature,"VOC,Humidity",0.99375,0.9972677595628415,0.9904761904761905,0.993797340013121
COMBINED3,w/o_Temperature,"VOC,Humidity",0.99375,0.9972677595628415,0.9904761904761905,0.993797340013121
SVM,w/o_Humidity,"VOC,Temperature",1.0,1.0,1.0,1.0
GBC,w/o_Humidity,"VOC,Temperature",1.0,1.0,1.0,1.0
XGB,w/o_Humidity,"VOC,Temperature",1.0,1.0,1.0,1.0
COMB_SG,w/o_Humidity,"VOC,Temperature",1.0,1.0,1.0,1.0
COMB_SX,w/o_Humidity,"VOC,Temperature",1.0,1.0,1.0,1.0
COMB_GX,w/o_Humidity,"VOC,Temperature",1.0,1.0,1.0,1.0
COMBINED3,w/o_Humidity,"VOC,Temperature",1.0,1.0,1.0,1.0
SVM,VOC_only,VOC,1.0,1.0,1.0,1.0
GBC,VOC_only,VOC,1.0,1.0,1.0,1.0
XGB,VOC_only,VOC,1.0,1.0,1.0,1.0
COMB_SG,VOC_only,VOC,1.0,1.0,1.0,1.0
COMB_SX,VOC_only,VOC,1.0,1.0,1.0,1.0
COMB_GX,VOC_only,VOC,1.0,1.0,1.0,1.0
COMBINED3,VOC_only,VOC,1.0,1.0,1.0,1.0
SVM,Temperature_only,Temperature,0.8875,0.8919708029197081,0.8353404171585991,0.8327889100157638
GBC,Temperature_only,Temperature,0.88125,0.8190796857463525,0.6849665486029123,0.7342901524644946
XGB,Temperature_only,Temperature,0.89375,0.8515754560530681,0.851633215269579,0.8202020202020203
COMB_SG,Temperature_only,Temperature,0.8875,0.8919708029197081,0.8353404171585991,0.8327889100157638
COMB_SX,Temperature_only,Temperature,0.8875,0.8919708029197081,0.8353404171585991,0.8327889100157638
COMB_GX,Temperature_only,Temperature,0.88125,0.8190796857463525,0.6849665486029123,0.7342901524644946
COMBINED3,Temperature_only,Temperature,0.89375,0.8515754560530681,0.851633215269579,0.8202020202020203
SVM,Humidity_only,Humidity,0.89375,0.8258394758394759,0.9260920897284534,0.8682444994099293
GBC,Humidity_only,Humidity,0.95625,0.9471264367816093,0.9739472648563559,0.959043600562588
XGB,Humidity_only,Humidity,0.95,0.8791777188328913,0.9644234553325463,0.9170816386006259
COMB_SG,Humidity_only,Humidity,0.89375,0.8258394758394759,0.9260920897284534,0.8682444994099293
COMB_SX,Humidity_only,Humidity,0.89375,0.8258394758394759,0.9260920897284534,0.8682444994099293
COMB_GX,Humidity_only,Humidity,0.95625,0.9471264367816093,0.9739472648563559,0.959043600562588
COMBINED3,Humidity_only,Humidity,0.95,0.8791777188328913,0.9644234553325463,0.9170816386006259
