VOC,Temperature,Humidity,actual_vqi,actual_status,pred_class,pred_status,freshness_score,final_price
0.077,26.33,63.6,75.19907198908221,Moderate,1,Moderate,6.5090339908341885,79.06875558755885
0.075,25.67,65.19,72.90525247355852,Moderate,1,Moderate,6.508579849937891,78.38015559200544
0.0212,27.5,79.0,90.03800750597067,Fresh,2,Fresh,9.990664900858821,87.00206715265001
0.0165,28.1,64.0,88.07311497782324,Fresh,2,Fresh,9.974848454430575,86.39678294777755
0.1145,27.5,73.0,79.12193790515182,Moderate,1,Moderate,7.444423888531106,81.18100526007666
0.071,24.68,67.56,69.6226134425111,Moderate,1,Moderate,6.509378049962183,77.3961620827155
0.0125,27.8,73.0,94.7221426134425,Fresh,2,Fresh,9.990664900858821,88.40730768489158
0.0116,26.3,75.0,89.00900716479019,Fresh,2,Fresh,9.989428717228844,86.69213086666589
0.073,25.23,66.24,71.4814329580348,Moderate,1,Moderate,6.509052627228161,77.95348251463861
0.0107,26.2,76.0,87.72920504947118,Fresh,2,Fresh,9.989107570837046,86.30786908567839
0.1734,27.5,74.0,68.2408393039918,Moderate,1,Moderate,6.712798364930553,77.18505015612809
0.0176,27.2,76.0,92.55213237802799,Fresh,2,Fresh,9.990513135587964,87.75615284899636
0.072,25.0,66.79,70.73035653360628,Moderate,1,Moderate,6.509235508713831,77.72834246879572
0.0714,27.6,72.0,86.70771067894914,Fresh,2,Fresh,9.583563698692672,85.59587690237743
0.0054,27.4,76.0,95.83333333333334,Fresh,2,Fresh,9.990664900858821,88.74066490085883
0.0125,26.6,76.0,89.82214261344254,Fresh,2,Fresh,9.989699372258297,86.93634215629106
0.2163,27.3,77.0,58.42251791197545,Not Fresh,1,Moderate,6.697793067307723,74.22454844090036
0.0125,27.2,75.0,94.25547594677586,Fresh,2,Fresh,9.990513135587964,88.26715591962072
0.0354,26.8,71.0,91.28229273285568,Fresh,2,Fresh,9.990135914060222,87.37482373391691
0.0154,28.1,63.0,87.42743091095188,Fresh,2,Fresh,9.973796071795622,86.2020253450812
0.074,25.46,65.69,72.23250938246333,Moderate,1,Moderate,6.509052627228161,78.17880544196716
0.0144,28.0,64.0,89.03135448652336,Fresh,2,Fresh,9.974848454430575,86.68425480038758
0.071,24.71,67.5,69.75261344251112,Moderate,1,Moderate,6.509378049962183,77.43516208271551
0.08,26.91,62.22,77.01730126236781,Moderate,1,Moderate,6.5181107590312655,79.6233011377416
0.0116,27.0,76.0,92.37567383145685,Fresh,2,Fresh,9.990513135587964,87.70321528502501
0.02,27.4,73.0,95.84271579665644,Fresh,2,Fresh,9.990664900858821,88.74347963985576
0.0187,27.4,73.0,96.06448311156602,Fresh,2,Fresh,9.990664900858821,88.81000983432862
0.072,25.05,66.68,70.93868986693963,Moderate,1,Moderate,6.509235508713831,77.79084246879572
0.088,26.23,62.26,71.60591265779598,Moderate,1,Moderate,6.506640204069853,77.98841400140866
0.0125,27.3,66.0,94.02214261344251,Fresh,2,Fresh,9.955433475419802,88.16207625945256
0.0125,28.4,73.0,91.12214261344252,Fresh,2,Fresh,9.990548745492408,87.32719152952517
0.0335,28.0,71.0,91.60641419310815,Fresh,2,Fresh,9.99029198923002,87.47221624716246
0.0134,26.9,69.0,93.96861139542818,Fresh,2,Fresh,9.971661442217584,88.16224486084603
0.0125,26.7,76.0,90.42214261344252,Fresh,2,Fresh,9.989699372258297,87.11634215629105
0.0212,27.5,76.0,92.53800750597065,Fresh,2,Fresh,9.990664900858821,87.75206715265003
0.02,27.4,71.0,97.5093824633231,Fresh,2,Fresh,9.99029198923002,89.24310672822695
0.075,25.83,64.81,73.54858580689185,Moderate,1,Moderate,6.508555218318437,78.57313096038598
0.0107,26.7,75.0,91.5625383828045,Fresh,2,Fresh,9.989699372258297,87.45846088709965
0.146,29.32,55.41,51.50334527465027,Not Fresh,0,Not Fresh,3.152244933259137,68.60324851565423
0.088,25.92,62.95,70.320912657796,Moderate,1,Moderate,6.5067386954113875,77.6030124927502
0.0187,28.3,70.0,91.49781644489934,Fresh,2,Fresh,9.98616015133651,87.43550508480631
0.0165,27.4,76.0,93.93978164448994,Fresh,2,Fresh,9.990664900858821,88.1725993942058
0.0134,28.3,71.0,93.23527806209484,Fresh,2,Fresh,9.990395952798128,87.96097937142657
0.0116,27.4,76.0,94.77567383145684,Fresh,2,Fresh,9.990664900858821,88.42336705029588
0.0134,26.8,71.0,95.03527806209486,Fresh,2,Fresh,9.990135914060222,88.50071933268867
0.0144,28.1,63.0,87.59802115319002,Fresh,2,Fresh,9.973796071795622,86.25320241775263
0.0125,26.5,76.0,89.22214261344253,Fresh,2,Fresh,9.989428717228844,86.7560715012616
0.0144,26.8,71.0,94.86468781985671,Fresh,2,Fresh,9.990135914060222,88.44954226001722
0.0301,26.8,71.0,92.18642101671786,Fresh,2,Fresh,9.990135914060222,87.64606221907557
0.0165,28.1,65.0,88.90644831115658,Fresh,2,Fresh,9.974905505039604,86.64683999838658
0.0176,27.4,75.0,94.58546571136131,Fresh,2,Fresh,9.990664900858821,88.36630461426722
0.0176,28.2,69.0,91.45213237802797,Fresh,2,Fresh,9.977869221151042,87.41350893455943
0.128,28.51,57.19,60.91730296827019,Moderate,1,Moderate,6.166165385821321,74.44135627630237
0.0134,26.9,78.0,89.80194472876151,Fresh,2,Fresh,9.990513135587964,86.93109655421641
0.0099,27.4,76.0,95.06567724326167,Fresh,2,Fresh,9.990664900858821,88.51036807383733
0.0125,27.2,76.0,93.42214261344252,Fresh,2,Fresh,9.990513135587964,88.01715591962072
0.0107,26.3,76.0,88.32920504947118,Fresh,2,Fresh,9.989428717228844,86.4881902320702
0.0092,27.4,75.0,96.01842374616172,Fresh,2,Fresh,9.990664900858821,88.79619202470734
0.0125,28.4,71.0,92.78880928010918,Fresh,2,Fresh,9.990107764980923,87.82675054901368
0.0134,28.3,70.0,92.40194472876149,Fresh,2,Fresh,9.98616015133651,87.70674356996496
0.0078,26.3,75.0,89.65725008529515,Fresh,2,Fresh,9.989428717228844,86.88660374281739
0.08,26.95,62.11,77.16563459570112,Moderate,1,Moderate,6.517215602855436,79.66690598156576
0.074,25.42,65.8,72.08417604913001,Moderate,1,Moderate,6.509052627228161,78.13430544196717
0.0144,27.2,77.0,92.2646878198567,Fresh,2,Fresh,9.990513135587964,87.66991948154497
0.0134,28.5,74.0,89.53527806209483,Fresh,2,Fresh,9.990165693245064,86.85074911187351
0.0125,26.5,76.0,89.22214261344253,Fresh,2,Fresh,9.989428717228844,86.7560715012616
0.0212,27.4,71.0,97.30467417263733,Fresh,2,Fresh,9.99029198923002,89.18169424102122
0.136,28.76,56.64,57.59424769703171,Not Fresh,0,Not Fresh,3.1564351984601693,70.43470950756968
0.0125,27.1,76.0,92.82214261344254,Fresh,2,Fresh,9.990513135587964,87.83715591962073
0.0285,28.0,71.0,92.45936540429886,Fresh,2,Fresh,9.99029198923002,87.72810161051969
0.0176,28.3,63.0,85.85213237802796,Fresh,2,Fresh,9.977953538260298,85.73359325166868
0.0134,28.4,71.0,92.63527806209484,Fresh,2,Fresh,9.990107764980923,87.78069118360938
0.146,29.25,55.55,52.04001194131694,Not Fresh,0,Not Fresh,3.152244933259137,68.76424851565423
0.0212,27.4,73.0,95.63800750597066,Fresh,2,Fresh,9.990664900858821,88.68206715265002
0.0212,27.4,73.0,95.63800750597066,Fresh,2,Fresh,9.990664900858821,88.68206715265002
0.0134,28.2,71.0,93.83527806209484,Fresh,2,Fresh,9.99029198923002,88.14087540785847
0.0116,27.2,76.0,93.57567383145685,Fresh,2,Fresh,9.990513135587964,88.06321528502502
0.0092,26.3,75.0,89.41842374616174,Fresh,2,Fresh,9.989428717228844,86.81495584107736
0.0226,26.8,71.0,93.46584783350393,Fresh,2,Fresh,9.990135914060222,88.02989026411139
0.0134,27.4,66.0,94.46861139542818,Fresh,2,Fresh,9.95581154675029,88.29639496537874
