VOC,Temperature,Humidity,actual_vqi,actual_status,pred_class,pred_status,freshness_score,final_price
0.077,26.33,63.6,75.19907198908221,Moderate,1,Moderate,6.509809080089566,79.06953067681424
0.075,25.67,65.19,72.90525247355852,Moderate,1,Moderate,6.504722284817799,78.37629802688535
0.0212,27.5,79.0,90.03800750597067,Fresh,2,Fresh,9.985758484572326,86.99716073636353
0.0165,28.1,64.0,88.07311497782324,Fresh,2,Fresh,9.989041747355092,86.41097624070207
0.1145,27.5,73.0,79.12193790515182,Moderate,2,Fresh,7.908490232201167,81.64507160374671
0.071,24.68,67.56,69.6226134425111,Moderate,1,Moderate,6.494300861424852,77.38108489417817
0.0125,27.8,73.0,94.7221426134425,Fresh,2,Fresh,9.996311378978492,88.41295416301125
0.0116,26.3,75.0,89.00900716479019,Fresh,2,Fresh,9.97996075934836,86.68266290878542
0.073,25.23,66.24,71.4814329580348,Moderate,1,Moderate,6.501164052967578,77.94559394037802
0.0107,26.2,76.0,87.72920504947118,Fresh,2,Fresh,9.973801312466515,86.29256282730786
0.1734,27.5,74.0,68.2408393039918,Moderate,1,Moderate,6.586585039848876,77.05883683104642
0.0176,27.2,76.0,92.55213237802799,Fresh,2,Fresh,9.993283316099152,87.75892302950756
0.072,25.0,66.79,70.73035653360628,Moderate,1,Moderate,6.498656173869217,77.71776313395111
0.0714,27.6,72.0,86.70771067894914,Fresh,2,Fresh,9.978932038568193,85.99124524225293
0.0054,27.4,76.0,95.83333333333334,Fresh,2,Fresh,9.99312031681443,88.74312031681444
0.0125,26.6,76.0,89.82214261344254,Fresh,2,Fresh,9.987695426687278,86.93433821072004
0.2163,27.3,77.0,58.42251791197545,Not Fresh,1,Moderate,6.2311897895252795,73.75794516311791
0.0125,27.2,75.0,94.25547594677586,Fresh,2,Fresh,9.994257771608915,88.27090055564167
0.0354,26.8,71.0,91.28229273285568,Fresh,2,Fresh,9.98430499565518,87.36899281551189
0.0154,28.1,63.0,87.42743091095188,Fresh,2,Fresh,9.98431025613528,86.21253952942085
0.074,25.46,65.69,72.23250938246333,Moderate,1,Moderate,6.503210488184406,78.1729633029234
0.0144,28.0,64.0,89.03135448652336,Fresh,2,Fresh,9.989183053926759,86.69858939988376
