VOC,Temperature,Humidity,actual_vqi,actual_status,pred_class,pred_status,freshness_score,final_price
0.077,26.33,63.6,75.19907198908221,Moderate,1,Moderate,6.512555569051536,79.0722771657762
0.075,25.67,65.19,72.90525247355852,Moderate,1,Moderate,6.5088649360858595,78.38044067815342
0.0212,27.5,79.0,90.03800750597067,Fresh,2,Fresh,9.984282978013725,86.99568522980492
0.0165,28.1,64.0,88.07311497782324,Fresh,2,Fresh,9.97592880736242,86.3978633007094
0.1145,27.5,73.0,79.12193790515182,Moderate,2,Fresh,8.058395700535343,81.7949770720809
0.071,24.68,67.56,69.6226134425111,Moderate,1,Moderate,6.502449453840089,77.38923348659341
0.0125,27.8,73.0,94.7221426134425,Fresh,2,Fresh,9.99131824095117,88.40796102498392
0.0116,26.3,75.0,89.00900716479019,Fresh,2,Fresh,9.979593880088773,86.68229602952584
0.073,25.23,66.24,71.4814329580348,Moderate,1,Moderate,6.506807966379225,77.95123785378965
0.0107,26.2,76.0,87.72920504947118,Fresh,2,Fresh,9.97527348457301,86.29403499941436
0.1734,27.5,74.0,68.2408393039918,Moderate,1,Moderate,6.698142331477531,77.17039412267506
0.0176,27.2,76.0,92.55213237802799,Fresh,2,Fresh,9.989198355517706,87.7548380689261
0.072,25.0,66.79,70.73035653360628,Moderate,1,Moderate,6.505257967970766,77.72436492805267
0.0714,27.6,72.0,86.70771067894914,Fresh,2,Fresh,9.70835044959203,85.72066365327677
0.0054,27.4,76.0,95.83333333333334,Fresh,2,Fresh,9.989190866175129,88.73919086617515
0.0125,26.6,76.0,89.82214261344254,Fresh,2,Fresh,9.984930761667686,86.93157354570045
0.2163,27.3,77.0,58.42251791197545,Not Fresh,1,Moderate,6.451207763388163,73.97796313698079
0.0125,27.2,75.0,94.25547594677586,Fresh,2,Fresh,9.989847992524213,88.26649077655698
0.0354,26.8,71.0,91.28229273285568,Fresh,2,Fresh,9.982961327536563,87.36764914739328
0.0154,28.1,63.0,87.42743091095188,Fresh,2,Fresh,9.972072891459243,86.20030216474481
