VOC,Temperature,Humidity,actual_vqi,actual_status,pred_class,pred_status,freshness_score,final_price
0.077,26.33,63.6,75.19907198908221,Moderate,1,Moderate,6.519598725486234,79.0793203222109
0.075,25.67,65.19,72.90525247355852,Moderate,1,Moderate,6.509435108381796,78.38101085044936
0.0212,27.5,79.0,90.03800750597067,Fresh,2,Fresh,9.971519132323536,86.98292138411475
0.0165,28.1,64.0,88.07311497782324,Fresh,2,Fresh,9.978089513226106,86.40002400657308
0.1145,27.5,73.0,79.12193790515182,Moderate,2,Fresh,9.286339324543816,83.02292069608936
0.071,24.68,67.56,69.6226134425111,Moderate,1,Moderate,6.488592261595904,77.37537629434922
0.0125,27.8,73.0,94.7221426134425,Fresh,2,Fresh,9.992624921135869,88.40926770516862
0.0116,26.3,75.0,89.00900716479019,Fresh,2,Fresh,9.95992420580863,86.66262635524569
0.073,25.23,66.24,71.4814329580348,Moderate,1,Moderate,6.5023186446813535,77.94674853209177
0.0107,26.2,76.0,87.72920504947118,Fresh,2,Fresh,9.947605312044939,86.26636682688628
0.1734,27.5,74.0,68.2408393039918,Moderate,1,Moderate,6.668830264571486,77.14108205576903
0.0176,27.2,76.0,92.55213237802799,Fresh,2,Fresh,9.98656879537719,87.75220850878559
0.072,25.0,66.79,70.73035653360628,Moderate,1,Moderate,6.497302886484633,77.71640984656652
0.0714,27.6,72.0,86.70771067894914,Fresh,2,Fresh,9.957923951390745,85.9702371550755
0.0054,27.4,76.0,95.83333333333334,Fresh,2,Fresh,9.986242796807744,88.73624279680774
0.0125,26.6,76.0,89.82214261344254,Fresh,2,Fresh,9.975393540486467,86.92203632451923
0.2163,27.3,77.0,58.42251791197545,Not Fresh,1,Moderate,5.958037155549043,73.48479252914169
0.0125,27.2,75.0,94.25547594677586,Fresh,2,Fresh,9.988517706396717,88.26516049042948
0.0354,26.8,71.0,91.28229273285568,Fresh,2,Fresh,9.968612154489243,87.35329997434596
0.0154,28.1,63.0,87.42743091095188,Fresh,2,Fresh,9.968626530786484,86.19685580407204
0.074,25.46,65.69,72.23250938246333,Moderate,1,Moderate,6.50641151511501,78.17616432985402
0.0144,28.0,64.0,89.03135448652336,Fresh,2,Fresh,9.97837212636944,86.68777847232644
0.071,24.71,67.5,69.75261344251112,Moderate,1,Moderate,6.489666678028623,77.41545071078197
0.08,26.91,62.22,77.01730126236781,Moderate,1,Moderate,6.535801683586842,79.64099206229717
0.0116,27.0,76.0,92.37567383145685,Fresh,2,Fresh,9.984280271519365,87.69698242095642
0.02,27.4,73.0,95.84271579665644,Fresh,2,Fresh,9.991992375018453,88.74480711401537
0.0187,27.4,73.0,96.06448311156602,Fresh,2,Fresh,9.992021045510418,88.81136597898023
0.072,25.05,66.68,70.93868986693963,Moderate,1,Moderate,6.498729699098475,77.78033665918036
0.088,26.23,62.26,71.60591265779598,Moderate,1,Moderate,6.501000362628154,77.98277415996695
0.0125,27.3,66.0,94.02214261344251,Fresh,2,Fresh,9.9714177115769,88.17806049560966
0.0125,28.4,73.0,91.12214261344252,Fresh,2,Fresh,9.989746084888706,87.32638886892146
0.0335,28.0,71.0,91.60641419310815,Fresh,2,Fresh,9.999958288365988,87.48188254629844
0.0134,26.9,69.0,93.96861139542818,Fresh,2,Fresh,9.975681428713898,88.16626484734236
0.0125,26.7,76.0,90.42214261344252,Fresh,2,Fresh,9.978619772915486,87.10526255694823
0.0212,27.5,76.0,92.53800750597065,Fresh,2,Fresh,9.987707957622096,87.74911020941329
0.02,27.4,71.0,97.5093824633231,Fresh,2,Fresh,9.999959725124787,89.25277446412171
0.075,25.83,64.81,73.54858580689185,Moderate,1,Moderate,6.512276723335392,78.57685246540296
0.0107,26.7,75.0,91.5625383828045,Fresh,2,Fresh,9.980896789805795,87.44965830464714
0.146,29.32,55.41,51.50334527465027,Not Fresh,0,Not Fresh,3.2276269619458913,68.67863054434098
0.088,25.92,62.95,70.320912657796,Moderate,1,Moderate,6.498736070034534,77.59500986737334
0.0187,28.3,70.0,91.49781644489934,Fresh,2,Fresh,9.999964474096641,87.44930940756645
0.0165,27.4,76.0,93.93978164448994,Fresh,2,Fresh,9.987366497310607,88.16930099065759
0.0134,28.3,71.0,93.23527806209484,Fresh,2,Fresh,9.999961310641229,87.97054472926969
0.0116,27.4,76.0,94.77567383145684,Fresh,2,Fresh,9.986986488536859,88.41968863797392
0.0134,26.8,71.0,95.03527806209486,Fresh,2,Fresh,9.981772352696455,88.49235577132492
0.0144,28.1,63.0,87.59802115319002,Fresh,2,Fresh,9.970140574212728,86.24954692016973
0.0125,26.5,76.0,89.22214261344253,Fresh,2,Fresh,9.971140027714528,86.7377828117473
0.0144,26.8,71.0,94.86468781985671,Fresh,2,Fresh,9.981528965728655,88.44093531168566
0.0301,26.8,71.0,92.18642101671786,Fresh,2,Fresh,9.97381237623871,87.62973868125407
0.0165,28.1,65.0,88.90644831115658,Fresh,2,Fresh,9.98487258989184,86.65680708323882
0.0176,27.4,75.0,94.58546571136131,Fresh,2,Fresh,9.98968337497966,88.36532308838805
0.0176,28.2,69.0,91.45213237802797,Fresh,2,Fresh,9.999968341516142,87.43560805492453
0.128,28.51,57.19,60.91730296827019,Moderate,1,Moderate,5.188115368586554,73.46330625906761
0.0134,26.9,78.0,89.80194472876151,Fresh,2,Fresh,9.973828510623433,86.91441192925188
0.0099,27.4,76.0,95.06567724326167,Fresh,2,Fresh,9.986812597355817,88.50651577033433
0.0125,27.2,76.0,93.42214261344252,Fresh,2,Fresh,9.986209943338075,88.01285272737083
0.0107,26.3,76.0,88.32920504947118,Fresh,2,Fresh,9.957721114298204,86.45648262913956
0.0092,27.4,75.0,96.01842374616172,Fresh,2,Fresh,9.989214320788951,88.79474144463745
0.0125,28.4,71.0,92.78880928010918,Fresh,2,Fresh,9.992299229056373,87.82894201308913
0.0134,28.3,70.0,92.40194472876149,Fresh,2,Fresh,9.99996658959331,87.72055000822176
0.0078,26.3,75.0,89.65725008529515,Fresh,2,Fresh,9.959609296381762,86.85678432197031
0.08,26.95,62.11,77.16563459570112,Moderate,1,Moderate,6.5380834521605244,79.68777383087085
0.074,25.42,65.8,72.08417604913001,Moderate,1,Moderate,6.505769323933386,78.13102213867239
0.0144,27.2,77.0,92.2646878198567,Fresh,2,Fresh,9.982955410502246,87.66236175645925
0.0134,28.5,74.0,89.53527806209483,Fresh,2,Fresh,9.985978140626495,86.84656155925494
0.0125,26.5,76.0,89.22214261344253,Fresh,2,Fresh,9.971140027714528,86.7377828117473
0.0212,27.4,71.0,97.30467417263733,Fresh,2,Fresh,9.999959013774019,89.19136126556522
0.136,28.76,56.64,57.59424769703171,Not Fresh,0,Not Fresh,3.988055444004038,71.26632975311354
0.0125,27.1,76.0,92.82214261344254,Fresh,2,Fresh,9.985433888327153,87.83207667235992
0.0285,28.0,71.0,92.45936540429886,Fresh,2,Fresh,9.99996411342711,87.73777373471677
0.0176,28.3,63.0,85.85213237802796,Fresh,2,Fresh,9.969204546667399,85.72484426007578
0.0134,28.4,71.0,92.63527806209484,Fresh,2,Fresh,9.992270444038885,87.78285386266734
0.146,29.25,55.55,52.04001194131694,Not Fresh,0,Not Fresh,3.241318800597665,68.85332238299276
0.0212,27.4,73.0,95.63800750597066,Fresh,2,Fresh,9.991956594085124,88.68335884587633
0.0212,27.4,73.0,95.63800750597066,Fresh,2,Fresh,9.991956594085124,88.68335884587633
0.0134,28.2,71.0,93.83527806209484,Fresh,2,Fresh,9.999965381831249,88.1505488004597
0.0116,27.2,76.0,93.57567383145685,Fresh,2,Fresh,9.986125272770515,88.05882742220757
0.0092,26.3,75.0,89.41842374616174,Fresh,2,Fresh,9.959764241826448,86.78529136567496
0.0226,26.8,71.0,93.46584783350393,Fresh,2,Fresh,9.978576439799774,88.01833078985095
0.0134,27.4,66.0,94.46861139542818,Fresh,2,Fresh,9.976560496149041,88.31714391477749
0.0116,26.4,76.0,88.77567383145684,Fresh,2,Fresh,9.965385549316721,86.59808769875377
0.0144,28.3,71.0,93.06468781985669,Fresh,2,Fresh,9.999961220904849,87.91936756686185
0.0412,27.9,71.0,90.89286932787444,Fresh,2,Fresh,9.989919662525596,87.25778046088793
0.0372,28.0,71.0,90.97523029682702,Fresh,2,Fresh,9.999951483881665,87.29252057292977
0.0107,28.0,64.0,89.66253838280448,Fresh,2,Fresh,9.981573100274668,86.88033461511601
0.074,25.58,65.41,72.71917604912998,Moderate,1,Moderate,6.50878330707297,78.32453612181197
0.136,28.7,56.78,58.07091436369839,Not Fresh,0,Not Fresh,4.1949431619563375,71.61621747106585
0.0176,27.0,77.0,90.51879904469466,Fresh,2,Fresh,9.981347548601676,87.13698726201007
0.0125,27.1,76.0,92.82214261344254,Fresh,2,Fresh,9.985433888327153,87.83207667235992
0.0165,28.4,69.0,90.43978164448994,Fresh,2,Fresh,9.999962292523318,87.1318967858703
0.072,25.12,66.51,71.21702320027296,Moderate,1,Moderate,6.500493686338822,77.86560064642072
0.079,26.77,62.55,76.62289150460595,Moderate,1,Moderate,6.531037954641012,79.5179054060228
0.0187,27.1,77.0,90.93114977823271,Fresh,2,Fresh,9.982545014923062,87.26188994839288
0.0125,26.6,76.0,89.82214261344254,Fresh,2,Fresh,9.975393540486467,86.92203632451923
0.071,24.84,67.17,70.2576134425111,Moderate,1,Moderate,6.493428772296536,77.57071280504987
0.0372,26.8,71.0,90.97523029682704,Fresh,2,Fresh,9.966370637108357,87.25893972615646
