VOC,Temperature,Humidity,actual_vqi,actual_status,pred_class,pred_status,freshness_score,final_price
0.077,26.33,63.6,75.19907198908221,Moderate,1,Moderate,6.5180485469754785,79.07777014370015
0.075,25.67,65.19,72.90525247355852,Moderate,1,Moderate,6.51715023862198,78.38872598068953
0.0212,27.5,79.0,90.03800750597067,Fresh,2,Fresh,9.981331964896526,86.99273421668772
0.0165,28.1,64.0,88.07311497782324,Fresh,2,Fresh,9.949702927377075,86.37163742072404
0.1145,27.5,73.0,79.12193790515182,Moderate,2,Fresh,8.358206637203693,82.09478800874925
0.071,24.68,67.56,69.6226134425111,Moderate,1,Moderate,6.518746638670564,77.40553067142389
0.0125,27.8,73.0,94.7221426134425,Fresh,2,Fresh,9.981331964896526,88.39797474892927
0.0116,26.3,75.0,89.00900716479019,Fresh,2,Fresh,9.978860121569596,86.68156227100665
0.073,25.23,66.24,71.4814329580348,Moderate,1,Moderate,6.518095793202519,77.96252568061294
0.0107,26.2,76.0,87.72920504947118,Fresh,2,Fresh,9.978217828786,86.29697934362736
0.1734,27.5,74.0,68.2408393039918,Moderate,2,Fresh,6.92125691473484,77.39350870593238
0.0176,27.2,76.0,92.55213237802799,Fresh,2,Fresh,9.981028434354812,87.7466681477632
0.072,25.0,66.79,70.73035653360628,Moderate,1,Moderate,6.518461556173861,77.73756851625575
0.0714,27.6,72.0,86.70771067894914,Fresh,2,Fresh,9.167187271639705,85.17950047532446
0.0054,27.4,76.0,95.83333333333334,Fresh,2,Fresh,9.981331964896526,88.73133196489653
0.0125,26.6,76.0,89.82214261344254,Fresh,2,Fresh,9.979401431628503,86.92604421566126
0.2163,27.3,77.0,58.42251791197545,Not Fresh,2,Fresh,6.89124371111393,74.41799908470657
0.0125,27.2,75.0,94.25547594677586,Fresh,2,Fresh,9.981028434354812,88.25767121838757
0.0354,26.8,71.0,91.28229273285568,Fresh,2,Fresh,9.980273991299327,87.36496181115602
0.0154,28.1,63.0,87.42743091095188,Fresh,2,Fresh,9.94759816210717,86.17582743539273
0.074,25.46,65.69,72.23250938246333,Moderate,1,Moderate,6.518095793202519,78.18784860794152
0.0144,28.0,64.0,89.03135448652336,Fresh,2,Fresh,9.949702927377075,86.6591092733341
0.071,24.71,67.5,69.75261344251112,Moderate,1,Moderate,6.518746638670564,77.44453067142389
0.08,26.91,62.22,77.01730126236781,Moderate,1,Moderate,6.536197224399075,79.64138760310942
0.0116,27.0,76.0,92.37567383145685,Fresh,2,Fresh,9.981028434354812,87.69373058379186
0.02,27.4,73.0,95.84271579665644,Fresh,2,Fresh,9.981331964896526,88.73414670389346
0.0187,27.4,73.0,96.06448311156602,Fresh,2,Fresh,9.981331964896526,88.80067689836633
0.072,25.05,66.68,70.93868986693963,Moderate,1,Moderate,6.518461556173861,77.80006851625575
0.088,26.23,62.26,71.60591265779598,Moderate,1,Moderate,6.513249933021143,77.99502373035993
0.0125,27.3,66.0,94.02214261344251,Fresh,2,Fresh,9.910872323904186,88.11751510793694
0.0125,28.4,73.0,91.12214261344252,Fresh,2,Fresh,9.9810996541637,87.31774243819646
0.0335,28.0,71.0,91.60641419310815,Fresh,2,Fresh,9.980586141638923,87.46251039957137
0.0134,26.9,69.0,93.96861139542818,Fresh,2,Fresh,9.943325047614053,88.13390846624252
0.0125,26.7,76.0,90.42214261344252,Fresh,2,Fresh,9.979401431628503,87.10604421566124
0.0212,27.5,76.0,92.53800750597065,Fresh,2,Fresh,9.981331964896526,87.74273421668772
0.02,27.4,71.0,97.5093824633231,Fresh,2,Fresh,9.980586141638923,89.23340088063586
0.075,25.83,64.81,73.54858580689185,Moderate,1,Moderate,6.517100975383073,78.58167671745062
0.0107,26.7,75.0,91.5625383828045,Fresh,2,Fresh,9.979401431628503,87.44816294646984
0.146,29.32,55.41,51.50334527465027,Not Fresh,0,Not Fresh,3.3044553399086,68.75545892230367
0.088,25.92,62.95,70.320912657796,Moderate,1,Moderate,6.513462534639984,77.60973633197878
0.0187,28.3,70.0,91.49781644489934,Fresh,2,Fresh,9.972322465851903,87.4216673993217
0.0165,27.4,76.0,93.93978164448994,Fresh,2,Fresh,9.981331964896526,88.1632664582435
0.0134,28.3,71.0,93.23527806209484,Fresh,2,Fresh,9.98079406877514,87.9513774874036
0.0116,27.4,76.0,94.77567383145684,Fresh,2,Fresh,9.981331964896526,88.41403411433357
0.0134,26.8,71.0,95.03527806209486,Fresh,2,Fresh,9.980273991299327,88.4908574099278
0.0144,28.1,63.0,87.59802115319002,Fresh,2,Fresh,9.94759816210717,86.22700450806417
0.0125,26.5,76.0,89.22214261344253,Fresh,2,Fresh,9.978860121569596,86.74550290560235
0.0144,26.8,71.0,94.86468781985671,Fresh,2,Fresh,9.980273991299327,88.43968033725633
0.0301,26.8,71.0,92.18642101671786,Fresh,2,Fresh,9.980273991299327,87.63620029631468
0.0165,28.1,65.0,88.90644831115658,Fresh,2,Fresh,9.949817028595135,86.6217515219421
0.0176,27.4,75.0,94.58546571136131,Fresh,2,Fresh,9.981331964896526,88.35697167830492
0.0176,28.2,69.0,91.45213237802797,Fresh,2,Fresh,9.955740605480969,87.39138031888936
0.128,28.51,57.19,60.91730296827019,Moderate,1,Moderate,5.832318142056465,74.10750903253754
0.0134,26.9,78.0,89.80194472876151,Fresh,2,Fresh,9.981028434354812,86.92161185298326
0.0099,27.4,76.0,95.06567724326167,Fresh,2,Fresh,9.981331964896526,88.50103513787502
0.0125,27.2,76.0,93.42214261344252,Fresh,2,Fresh,9.981028434354812,88.00767121838756
0.0107,26.3,76.0,88.32920504947118,Fresh,2,Fresh,9.978860121569596,86.47762163641094
0.0092,27.4,75.0,96.01842374616172,Fresh,2,Fresh,9.981331964896526,88.78685908874505
0.0125,28.4,71.0,92.78880928010918,Fresh,2,Fresh,9.98021769314073,87.81686047717348
0.0134,28.3,70.0,92.40194472876149,Fresh,2,Fresh,9.972322465851903,87.69290588448035
0.0078,26.3,75.0,89.65725008529515,Fresh,2,Fresh,9.978860121569596,86.87603514715813
0.08,26.95,62.11,77.16563459570112,Moderate,1,Moderate,6.534406912047416,79.68409729075775
0.074,25.42,65.8,72.08417604913001,Moderate,1,Moderate,6.518095793202519,78.14334860794152
0.0144,27.2,77.0,92.2646878198567,Fresh,2,Fresh,9.981028434354812,87.66043478031182
0.0134,28.5,74.0,89.53527806209483,Fresh,2,Fresh,9.980333549669012,86.84091696829745
0.0125,26.5,76.0,89.22214261344253,Fresh,2,Fresh,9.978860121569596,86.74550290560235
0.0212,27.4,71.0,97.30467417263733,Fresh,2,Fresh,9.980586141638923,89.17198839343013
0.136,28.76,56.64,57.59424769703171,Not Fresh,0,Not Fresh,3.312835870310664,70.59111017942017
0.0125,27.1,76.0,92.82214261344254,Fresh,2,Fresh,9.981028434354812,87.82767121838756
0.0285,28.0,71.0,92.45936540429886,Fresh,2,Fresh,9.980586141638923,87.7183957629286
0.0176,28.3,63.0,85.85213237802796,Fresh,2,Fresh,9.955913095036522,85.7115528084449
0.0134,28.4,71.0,92.63527806209484,Fresh,2,Fresh,9.98021769314073,87.77080111176917
0.146,29.25,55.55,52.04001194131694,Not Fresh,0,Not Fresh,3.3044553399086,68.91645892230368
0.0212,27.4,73.0,95.63800750597066,Fresh,2,Fresh,9.981331964896526,88.67273421668772
0.0212,27.4,73.0,95.63800750597066,Fresh,2,Fresh,9.981331964896526,88.67273421668772
0.0134,28.2,71.0,93.83527806209484,Fresh,2,Fresh,9.980586141638923,88.13116956026738
0.0116,27.2,76.0,93.57567383145685,Fresh,2,Fresh,9.981028434354812,88.05373058379186
0.0092,26.3,75.0,89.41842374616174,Fresh,2,Fresh,9.978860121569596,86.80438724541813
0.0226,26.8,71.0,93.46584783350393,Fresh,2,Fresh,9.980273991299327,88.0200283413505
0.0134,27.4,66.0,94.46861139542818,Fresh,2,Fresh,9.911628466565162,88.25221188519362
0.0116,26.4,76.0,88.77567383145684,Fresh,2,Fresh,9.978860121569596,86.61156227100666
0.0144,28.3,71.0,93.06468781985669,Fresh,2,Fresh,9.98079406877514,87.90020041473214
0.0412,27.9,71.0,90.89286932787444,Fresh,2,Fresh,9.980586141638923,87.24844694000126
0.0372,28.0,71.0,90.97523029682702,Fresh,2,Fresh,9.980586141638923,87.27315523068704
0.0107,28.0,64.0,89.66253838280448,Fresh,2,Fresh,9.949702927377075,86.84846444221841
