VOC,Temperature,Humidity,VQI,Remaining_Days
0.02,27.5,72.0,96.07604912998976,8.5
0.0187,27.5,73.0,95.464483111566,8.3
0.02,27.5,73.0,95.2427157966564,8.3
0.02,27.5,74.0,94.40938246332308,8.0
0.0212,27.5,73.0,95.03800750597064,8.2
0.0226,27.5,75.0,93.1325145001706,7.6
0.0212,27.5,73.0,95.03800750597064,8.2
0.0165,27.5,73.0,95.83978164448992,8.5
0.0212,27.5,72.0,95.87134083930398,8.5
0.0212,27.7,74.0,93.00467417263732,7.6
0.0212,27.5,74.0,94.20467417263733,7.9
0.0212,27.5,74.0,94.20467417263733,7.9
0.0212,27.5,73.0,95.03800750597064,8.2
0.0212,27.5,72.0,95.87134083930398,8.5
0.0212,27.5,72.0,95.87134083930398,8.5
0.0212,27.5,73.0,95.03800750597064,8.2
0.0212,27.5,73.0,95.03800750597064,8.2
0.0187,27.5,72.0,96.29781644489934,8.6
0.0212,27.5,72.0,95.87134083930398,8.5
0.0212,27.5,72.0,95.87134083930398,8.5
0.0176,27.5,71.0,97.31879904469464,9.0
0.0212,27.4,71.0,97.30467417263732,9.0
0.0187,27.4,70.0,96.89781644489936,8.8
0.02,27.4,71.0,97.5093824633231,9.1
0.0176,27.4,70.0,97.08546571136132,8.9
0.0187,27.4,71.0,97.73114977823268,9.1
0.02,27.4,71.0,97.5093824633231,9.1
0.0154,27.4,72.0,97.46076424428524,9.0
0.0187,27.4,73.0,96.06448311156602,8.5
0.0187,27.4,73.0,96.06448311156602,8.5
0.02,27.4,73.0,95.84271579665644,8.5
0.0212,27.4,73.0,95.63800750597066,8.4
0.0212,27.4,75.0,93.971340839304,7.9
0.0212,27.4,73.0,95.63800750597066,8.4
0.0212,27.4,72.0,96.471340839304,8.7
0.0212,27.4,72.0,96.471340839304,8.7
0.02,27.4,74.0,95.0093824633231,8.2
0.0212,27.4,75.0,93.971340839304,7.9
0.0212,27.4,76.0,93.13800750597066,7.6
0.0212,27.5,76.0,92.53800750597064,7.4
0.0212,27.4,74.0,94.80467417263732,8.1
